AA23075057Z7,"{'"1'": '"100345'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"LOYALTY'", '"17'": '"LOYALTY'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"BRONZE'", '"38'": '"AUTOMATIC'", '"46'": '"LOYALTY'", '"col_counter'": 71}"
AA23075061RZ,"{'"1'": '"100110'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"LOYALTY'", '"17'": '"LOYALTY'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"BRONZE'", '"38'": '"AUTOMATIC'", '"46'": '"LOYALTY'", '"col_counter'": 71}"
AA2307507FNT,"{'"1'": '"100121'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"LOYALTY'", '"17'": '"LOYALTY'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"BRONZE'", '"38'": '"AUTOMATIC'", '"46'": '"LOYALTY'", '"col_counter'": 71}"
AA230750DBZH,"{'"1'": '"100106'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"VALUED.CUSTOMER'", '"17'": '"VALUED.CUST'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"C'", '"38'": '"AUTOMATIC'", '"46'": '"VALUED.CUST'", '"col_counter'": 71}"
AA230750H1GM,"{'"1'": '"111111'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"VALUED.CUSTOMER'", '"17'": '"VALUED.CUST'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"B'", '"38'": '"AUTOMATIC'", '"46'": '"VALUED.CUST'", '"col_counter'": 71}"
AA230750J093,"{'"1'": '"111602'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"LOYALTY'", '"17'": '"LOYALTY'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"BRONZE'", '"38'": '"AUTOMATIC'", '"46'": '"LOYALTY'", '"col_counter'": 71}"
AA230750JFSK,"{'"1'": '"100285'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"VALUED.CUSTOMER'", '"17'": '"VALUED.CUST'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"AA'", '"38'": '"AUTOMATIC'", '"46'": '"VALUED.CUST'", '"col_counter'": 71}"
AA230750JSC2,"{'"1'": '"100387'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"VALUED.CUSTOMER'", '"17'": '"VALUED.CUST'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"A'", '"38'": '"AUTOMATIC'", '"46'": '"VALUED.CUST'", '"col_counter'": 71}"
AA230750V41K,"{'"1'": '"140140'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"VALUED.CUSTOMER'", '"17'": '"VALUED.CUST'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"C'", '"38'": '"AUTOMATIC'", '"46'": '"VALUED.CUST'", '"col_counter'": 71}"
AA230750XH0N,"{'"1'": '"100344'", '"2'": '"OWNER'", '"6'": '"NO'", '"9'": '"GB0010001'", '"11'": '"AUTH'", '"12'": '"20230316'", '"15'": '"RELATIONSHIP.PRICING'", '"16'": '"LOYALTY'", '"17'": '"LOYALTY'", '"18'": '"20230316'", '"19'": '"CURRENT'", '"20'": [['"ELIGIBILITY'", '"PRICING'", '"CUSTOMER'", '"PRESENTATION'"]], '"22'": '"20230316'", '"23'": '"BRONZE'", '"38'": '"AUTOMATIC'", '"46'": '"LOYALTY'", '"col_counter'": 71}"
